"date","open","high","low","close","adj_close","volume"
20100629,19.000000,25.000000,17.540001,23.889999,23.889999,18766300
20100630,25.790001,30.420000,23.299999,23.830000,23.830000,17187100
20100701,25.000000,25.920000,20.270000,21.959999,21.959999,8218800
20100702,23.000000,23.100000,18.709999,19.200001,19.200001,5139800
20100706,20.000000,20.000000,15.830000,16.110001,16.110001,6866900
20100707,16.400000,16.629999,14.980000,15.800000,15.800000,6921700
20100708,16.139999,17.520000,15.570000,17.459999,17.459999,7711400
20100709,17.580000,17.900000,16.549999,17.400000,17.400000,4050600
20100712,17.950001,18.070000,17.000000,17.049999,17.049999,2202500
20100713,17.389999,18.639999,16.900000,18.139999,18.139999,2680100
20100714,17.940001,20.150000,17.760000,19.840000,19.840000,4195200
20100715,19.940001,21.500000,19.000000,19.889999,19.889999,3739800
20100716,20.700001,21.299999,20.049999,20.639999,20.639999,2621300
20100719,21.370001,22.250000,20.920000,21.910000,21.910000,2486500
20100720,21.850000,21.850000,20.049999,20.299999,20.299999,1825300
20100721,20.660000,20.900000,19.500000,20.219999,20.219999,1252500
20100722,20.500000,21.250000,20.370001,21.000000,21.000000,957800
20100723,21.190001,21.559999,21.059999,21.290001,21.290001,653600
20100726,21.500000,21.500000,20.299999,20.950001,20.950001,922200
20100727,20.910000,21.180000,20.260000,20.549999,20.549999,619700
20100728,20.549999,20.900000,20.510000,20.719999,20.719999,467200
20100729,20.770000,20.879999,20.000000,20.350000,20.350000,616000
20100730,20.200001,20.440001,19.549999,19.940001,19.940001,426900
20100802,20.500000,20.969999,20.330000,20.920000,20.920000,718100
20100803,21.000000,21.950001,20.820000,21.950001,21.950001,1230500
20100804,21.950001,22.180000,20.850000,21.260000,21.260000,913000
20100805,21.540001,21.549999,20.049999,20.450001,20.450001,796200
20100806,20.100000,20.160000,19.520000,19.590000,19.590000,741900
20100809,19.900000,19.980000,19.450001,19.600000,19.600000,812700
20100810,19.650000,19.650000,18.820000,19.030001,19.030001,1281300
20100811,18.690001,18.879999,17.850000,17.900000,17.900000,797600
20100812,17.799999,17.900000,17.389999,17.600000,17.600000,691000
20100813,18.180000,18.450001,17.660000,18.320000,18.320000,634000
20100816,18.450001,18.799999,18.260000,18.780001,18.780001,485800
20100817,18.959999,19.400000,18.780001,19.150000,19.150000,447900
20100818,19.590000,19.590000,18.600000,18.770000,18.770000,601300
20100819,18.540001,19.250000,18.330000,18.790001,18.790001,579100
20100820,18.650000,19.110001,18.510000,19.100000,19.100000,296000
20100823,19.090000,20.389999,19.000000,20.129999,20.129999,1088100
20100824,19.250000,19.709999,18.950001,19.200001,19.200001,673100
20100825,19.160000,19.980000,18.559999,19.900000,19.900000,503300
20100826,19.889999,20.270000,19.600000,19.750000,19.750000,433800
20100827,19.750000,19.870001,19.500000,19.700001,19.700001,379600
20100830,19.700001,20.190001,19.610001,19.870001,19.870001,732800
20100831,19.660000,19.790001,19.330000,19.480000,19.480000,201100
20100901,19.620001,20.690001,19.600000,20.450001,20.450001,494900
20100902,20.370001,21.240000,20.309999,21.059999,21.059999,487100
20100903,20.870001,21.299999,20.660000,21.049999,21.049999,434600
20100907,20.610001,21.000000,20.500000,20.540001,20.540001,243400
20100908,20.660000,20.950001,20.600000,20.900000,20.900000,288400
20100909,21.000000,21.049999,20.690001,20.709999,20.709999,376200
20100910,20.750000,20.930000,19.760000,20.170000,20.170000,386600
20100913,20.889999,20.900000,20.500000,20.719999,20.719999,360800
20100914,20.540001,21.600000,20.530001,21.120001,21.120001,654700
20100915,20.980000,22.000000,20.790001,21.980000,21.980000,684600
20100916,22.150000,23.160000,20.840000,20.940001,20.940001,2684500
20100917,21.020000,21.320000,19.799999,20.230000,20.230000,1198500
20100920,20.670000,21.350000,20.160000,21.059999,21.059999,947500
20100921,20.889999,21.549999,20.670000,20.770000,20.770000,796000
20100922,20.870001,20.950001,19.799999,19.870001,19.870001,962900
20100923,19.889999,20.139999,19.500000,19.559999,19.559999,668100
20100924,19.950001,20.190001,19.650000,20.100000,20.100000,578900
20100927,20.400000,20.809999,20.049999,20.530001,20.530001,418600
20100928,21.040001,21.490000,20.760000,21.400000,21.400000,1214500
20100929,21.190001,22.030001,21.129999,21.980000,21.980000,1969300
20100930,22.000000,22.150000,20.190001,20.410000,20.410000,2195800
20101001,20.690001,20.750000,20.309999,20.600000,20.600000,597700
20101004,20.430000,21.170000,20.299999,20.990000,20.990000,643600
20101005,21.150000,21.280001,21.010000,21.120001,21.120001,332000
20101006,21.059999,21.260000,20.320000,20.459999,20.459999,313400
20101007,20.570000,20.639999,20.340000,20.430000,20.430000,141000
20101008,20.430000,20.790001,20.389999,20.430000,20.430000,267800
