"date","close","volume","open","high","low"

"20190522","192.7300","18685190.0000","199.1000","203.9400","191.7800"
"20190521","205.0800","18003900.0000","197.7600","207.4000","196.0400"
"20190520","205.3600","20526200.0000","202.8000","206.0000","195.2500"
"20190517","211.0300","17786670.0000","221.9600","222.2400","208.9200"
"20190516","228.3300","7483273.0000","229.4900","231.0000","226.5000"
"20190515","231.9500","7295976.0000","229.3200","232.4400","225.2500"
"20190514","232.3100","7252412.0000","229.3000","234.5000","228.0000"
"20190513","227.0100","10834800.0000","232.0100","232.4700","224.5000"
"20190510","239.5200","7008336.0000","239.7500","241.9900","236.0200"
"20190509","241.9800","6711382.0000","242.0000","243.6800","236.9434"
"20190508","244.8400","6176440.0000","246.9400","250.5990","244.2000"
"20190507","247.0600","10131410.0000","256.8000","257.2100","245.1000"
"20190506","255.3400","10833940.0000","250.0200","258.3499","248.5000"
"20190503","255.0300","23706770.0000","243.8600","256.6100","243.4900"
"20190502","244.1000","18159340.0000","245.5200","247.1300","237.7200"
"20190501","234.0100","10704350.0000","238.8500","240.0000","231.5000"
"20190430","238.6900","9446965.0000","242.0600","244.2100","237.0000"
"20190429","241.4700","16686620.0000","235.8600","243.9800","232.1700"
"20190426","235.1400","22151160.0000","246.5000","246.6800","231.1300"
"20190425","247.6300","21823380.0000","255.0000","259.0000","246.0700"
"20190424","258.6600","9657061.0000","263.8500","265.3200","258.0000"
"20190423","263.9000","10909350.0000","260.1500","265.6000","255.7500"
"20190422","262.7500","12101690.0000","269.0000","269.6800","262.4800"
"20190418","273.2600","5861478.0000","271.2300","274.8400","269.7500"
"20190417","271.2300","5118011.0000","274.7500","274.7900","268.5350"
"20190416","273.3600","7266504.0000","265.7500","275.0000","264.7200"
"20190415","266.3800","10032490.0000","268.6300","268.8800","258.6300"
"20190412","267.7000","6735386.0000","270.2200","271.9500","266.8300"
"20190411","268.4200","9781294.0000","268.3000","270.5000","265.6000"
"20190410","276.0600","7045034.0000","276.7400","278.3800","272.8925"
"20190409","272.3100","5893247.0000","271.6500","275.0000","269.6100"
"20190408","273.2000","10364600.0000","277.6900","281.1600","270.4400"
"20190405","274.9600","13022740.0000","269.8600","276.1000","266.1100"
"20190404","267.7800","23680170.0000","261.8900","271.2000","260.5900"
"20190403","291.8100","7916650.0000","287.3200","296.1700","287.1700"
"20190402","285.8800","5427184.0000","288.3000","289.4400","283.8800"
"20190401","289.1800","8093134.0000","282.6200","289.2000","281.2810"
"20190329","279.8600","5980355.0000","278.7000","280.1600","274.5000"
"20190328","278.6200","6764921.0000","277.1600","280.3300","275.1000"
"20190327","274.8300","8752384.0000","268.7500","275.3700","268.1838"
"20190326","267.7700","7341868.0000","264.4400","270.2600","264.4300"
"20190325","260.4200","10205080.0000","259.7100","263.1800","254.4600"
"20190322","264.5300","8721950.0000","272.5800","272.8000","264.0000"
"20190321","274.0200","5930925.0000","272.6000","276.4500","268.4500"
"20190320","273.6000","6881976.0000","269.6900","274.9700","266.3000"
"20190319","267.4700","11774330.0000","267.5000","273.3000","263.4600"
"20190318","269.4900","10264960.0000","276.0000","278.0500","267.3000"
"20190315","275.4300","14757360.0000","283.5100","283.7244","274.4000"
"20190314","289.9600","7048138.0000","292.4500","295.3900","288.2900"
"20190313","288.9600","6817854.0000","283.9000","291.9900","282.7000"
"20190312","283.3600","7488037.0000","286.4900","288.0700","281.0600"
"20190311","290.9200","7372298.0000","283.5200","291.2800","280.5000"
"20190308","284.1400","8805772.0000","276.9100","285.5900","275.8900"
"20190307","276.5900","9410697.0000","278.8400","284.7000","274.2500"
"20190306","276.2400","10319370.0000","276.4800","281.5058","274.3900"
"20190305","276.5400","18729800.0000","282.0000","284.0000","270.1000"
"20190304","285.3600","17068890.0000","298.1200","299.0000","282.7800"
"20190301","294.7900","22848750.0000","306.9400","307.1300","291.9000"
"20190228","319.8800","9666224.0000","318.9200","320.0000","310.8100"
"20190227","314.7400","11144100.0000","301.7800","316.2950","300.5500"
"20190226","297.8600","8571609.0000","292.2200","302.0100","288.7701"
"20190225","298.7700","6213701.0000","297.9100","302.9044","297.0005"
"20190222","294.7100","5731380.0000","294.4900","296.5000","292.1000"
"20190221","291.2300","8880830.0000","301.8100","303.2399","290.5000"
"20190220","302.5600","7132969.0000","304.4100","306.3000","299.0000"
"20190219","305.6400","4120520.0000","306.5600","311.5442","305.4700"
"20190215","307.8800","3895815.0000","304.5000","308.0000","303.9000"
"20190214","303.7700","5190887.0000","303.3800","306.7700","301.0000"
"20190213","308.1700","5130398.0000","312.3500","312.7500","305.5700"
"20190212","311.8100","5485419.0000","316.2000","318.1900","309.6200"
"20190211","312.8400","7114012.0000","311.6000","318.6000","310.5000"
"20190208","305.8000","5835078.0000","306.8300","307.4450","298.5000"
"20190207","307.5100","6511830.0000","313.3000","314.7000","303.0000"
"20190206","317.2200","5031368.0000","319.5900","324.2400","315.6240"
"20190205","321.3500","6734739.0000","312.4900","322.4400","312.2494"
"20190204","312.8900","7344076.0000","312.9800","315.3000","301.8800"
"20190201","312.2100","7263618.0000","305.4200","316.1000","303.5000"
"20190131","307.0200","12545190.0000","301.0000","311.5636","294.0000"
"20190130","308.7700","10594040.0000","300.4500","309.0000","298.4900"
"20190129","297.4600","4602933.0000","295.2700","298.5566","291.8000"
"20190128","296.3800","6409477.0000","292.9100","297.4600","287.7500"
"20190125","297.0400","7102781.0000","294.3900","298.5195","289.5500"
"20190124","291.5100","7990911.0000","283.0300","293.6800","279.2831"
"20190123","287.5900","12513080.0000","292.5000","294.5000","281.6900"
"20190122","298.9200","12052130.0000","304.8200","308.0000","295.5000"
"20190118","302.2600","24079260.0000","323.0000","327.1297","299.7301"
"20190117","347.3100","3661162.0000","346.2100","351.5000","344.1500"
"20190116","346.0500","4677227.0000","344.7800","352.0000","343.5000"
"20190115","344.4300","6047890.0000","335.0000","348.8000","334.5000"
"20190114","334.4000","5232690.0000","342.3800","342.5000","334.0000"
"20190111","347.2600","5035078.0000","342.0900","348.4100","338.7700"
"20190110","344.9700","6049621.0000","334.4000","345.3900","331.7900"
"20190109","338.5300","5426618.0000","335.5000","343.5025","331.4700"
"20190108","335.3500","6994427.0000","341.9600","344.0100","327.0200"
"20190107","334.9600","7542338.0000","321.7200","336.7400","317.7508"
"20190104","317.6900","7382755.0000","306.0000","318.0000","302.7300"
"20190103","300.3600","6948577.0000","307.0000","309.4000","297.3800"
"20190102","310.1200","11611270.0000","306.1000","315.1300","298.8000"
"20181231","332.8000","6294298.0000","337.7900","339.2100","325.2600"
"20181228","333.8700","9918777.0000","323.1000","336.2400","318.4100"
"20181227","316.1300","8567385.0000","319.8400","322.1717","301.5000"
"20181226","326.0900","8143102.0000","300.0000","326.9700","294.0900"
"20181224","295.3900","5559913.0000","313.5000","314.5000","295.1950"
"20181221","319.7700","7997219.0000","317.4000","323.4700","312.4400"
"20181220","315.3800","9049389.0000","327.0540","330.2900","311.8690"
"20181219","332.9700","8256374.0000","337.6000","347.0100","329.7400"
"20181218","337.0300","7084887.0000","350.5400","351.5500","333.6900"
"20181217","348.4200","7664832.0000","362.0000","365.7000","343.8800"
"20181214","365.7100","6327625.0000","375.0000","377.8700","364.3300"
"20181213","376.7900","7348168.0000","370.1500","377.4400","366.7500"
"20181212","366.6000","5019725.0000","369.4200","371.9100","365.1600"
"20181211","366.7600","6298472.0000","369.9100","372.1689","360.2300"
"20181210","365.1500","6575341.0000","360.0000","365.9800","353.1200"
"20181207","357.9650","11484350.0000","369.0000","379.4900","357.6500"
"20181206","363.0600","7828689.0000","356.0100","367.3800","350.7600"
"20181204","359.7000","8430213.0000","356.0500","368.6800","352.0000"
"20181203","358.4900","8295843.0000","360.0000","366.0000","352.0000"
"20181130","350.4800","5621104.0000","341.8300","351.6000","338.2648"
"20181129","341.1700","3076026.0000","347.0000","347.5000","339.5500"
"20181128","347.8700","4114038.0000","345.9900","348.2800","342.2100"
"20181127","343.9200","6347004.0000","340.0500","346.9600","335.5000"
"20181126","346.0000","7973119.0000","325.0000","346.2200","325.0000"
"20181123","325.8300","4202642.0000","334.3450","337.5000","325.5500"
"20181121","338.1900","4677389.0000","352.0000","353.1000","337.3995"
"20181120","347.4900","7991253.0000","341.7500","349.8000","333.5500"
"20181119","353.4700","9698559.0000","356.3400","366.7500","352.8800"
"20181116","354.3100","7194458.0000","345.1900","355.7000","345.1201"
"20181115","348.4400","4600130.0000","342.3300","348.5800","339.0400"
"20181114","344.0000","5032083.0000","342.7000","347.1100","337.1500"
"20181113","338.7300","5422756.0000","333.1600","344.7000","332.2000"
"20181112","331.2800","6916965.0000","348.3700","349.7800","330.3400"
"20181109","350.5100","5093456.0000","349.0000","354.0000","345.2300"
"20181108","351.4000","7080203.0000","348.5000","357.5755","348.4400"
"20181107","348.1600","7366706.0000","343.3400","351.1800","340.8000"
"20181106","341.0600","6751930.0000","339.0700","348.8000","336.0900"
"20181105","341.4000","7820845.0000","340.5000","343.9550","330.1400"
"20181102","346.4100","7799920.0000","343.7400","349.2000","340.9100"
"20181101","344.2800","7980946.0000","338.2600","347.8400","334.7250"
"20181031","337.3200","7600840.0000","332.5400","342.0000","329.1000"
"20181030","329.9000","9109120.0000","328.3900","337.8999","322.2600"
"20181029","334.8500","14455150.0000","337.4700","347.1600","326.5000"
"20181026","330.9000","27380220.0000","308.2500","339.9000","306.6500"
"20181025","314.8600","20771670.0000","317.2200","321.0000","301.0100"
"20181024","288.5000","19350450.0000","301.0500","304.4400","285.7300"
"20181023","294.1400","18956210.0000","263.8700","297.9300","262.1000"
"20181022","260.9500","5594855.0000","260.6800","261.8600","252.5900"
"20181019","260.0000","9344764.0000","267.3900","269.6600","253.5000"
"20181018","263.9100","5401871.0000","269.2900","271.0000","263.0000"
"20181017","271.7800","8636949.0000","282.4000","282.7000","265.8032"
"20181016","276.5900","9501120.0000","265.7000","277.3750","262.2400"
"20181015","259.5900","6189026.0000","259.0600","263.2800","254.5367"
"20181012","258.7800","7189257.0000","261.0000","261.9900","252.0100"
"20181011","252.2300","8128184.0000","257.5300","262.2500","249.0300"
"20181010","256.8800","12781560.0000","264.6100","265.5100","247.7700"
"20181009","262.8000","12037780.0000","255.2500","266.7700","253.3000"
"20181008","250.5600","13371180.0000","264.5200","267.7599","249.0000"
"20181005","261.9500","17900710.0000","274.6500","274.8800","260.0000"
"20181004","281.8300","9638885.0000","293.9500","294.0000","277.6700"
"20181003","294.8000","7982272.0000","303.3300","304.6000","291.5700"
"20181002","301.0200","11699690.0000","313.9500","316.8400","299.1500"
"20181001","310.7000","21714210.0000","305.7700","311.4400","301.0500"
"20180928","264.7700","33597290.0000","270.2600","278.0000","260.5550"
"20180927","307.5200","7337760.0000","312.9000","314.9600","306.9100"
"20180926","309.5800","7835863.0000","301.9100","313.8900","301.1093"
"20180925","300.9900","4472287.0000","300.0000","304.6000","296.5000"
"20180924","299.6800","4834384.0000","298.4800","302.9993","293.5800"
"20180921","299.1000","5038497.0000","297.7000","300.5800","295.3700"
"20180920","298.3300","7332477.0000","303.5600","305.9800","293.3300"
"20180919","299.0200","8264353.0000","280.5100","300.0000","280.5000"
"20180918","284.9600","16494280.0000","296.6900","302.6400","275.5000"
"20180917","294.8400","6866208.0000","290.0400","300.8700","288.1300"
"20180914","295.2000","6757652.0000","288.7600","297.3256","286.5200"
"20180913","289.4600","6333281.0000","288.0200","295.0000","285.1800"
"20180912","290.5400","10002150.0000","281.4400","292.5000","278.6463"
"20180911","279.4400","9161061.0000","279.4700","282.0000","273.5500"
"20180910","285.5000","14232250.0000","273.2600","286.0300","271.0000"
"20180907","263.2400","22442310.0000","260.1000","268.3500","252.2548"
"20180906","280.9500","7472756.0000","284.8000","291.1700","278.8800"
"20180905","280.7400","7707342.0000","285.0500","286.7800","277.1800"
"20180904","288.9500","8304571.0000","296.9400","298.1900","288.0000"
"20180831","301.6600","5367048.0000","302.0000","305.3082","298.6000"
"20180830","303.1500","7210625.0000","302.2600","304.6000","297.7200"
"20180829","305.0100","7410538.0000","310.2700","311.8500","303.6900"
"20180828","311.8600","7639453.0000","318.4100","318.8800","311.1900"
"20180827","319.2700","13062650.0000","318.0000","322.4350","308.8100"
